job_role,country,is_remote,schedule_type,posted_date,salary_year_avg,no_degree_required,health_insurance,python,sql,aws,spark,r,azure,tableau,java,snowflake,hadoop,power bi,job_skills_clean
Data Engineer,United States,False,Full-time,2023-06-20,102500.0,True,False,0,1,0,1,0,1,0,0,1,0,0,"['sql', 'powershell', 'azure', 'snowflake', 'spark', 'git']"
Data Engineer,Israel,False,Full-time,2023-09-01,79200.0,True,False,1,1,0,1,0,0,0,1,0,0,0,"['python', 'scala', 'sql', 'java', 'gcp', 'databricks', 'bigquery', 'spark', 'kafka', 'docker', 'kubernetes', 'gitlab']"
Data Engineer,United States,False,Full-time,2023-04-14,198500.0,False,False,1,1,0,0,0,0,0,0,0,0,0,"['sql', 'python']"
Data Scientist,Germany,False,Full-time,2023-08-18,56700.0,False,False,0,0,0,1,0,0,0,0,0,0,0,['spark']
Senior Data Scientist,Sudan,True,Full-time,2023-06-14,160000.0,False,False,1,0,0,0,1,0,0,0,0,0,0,"['r', 'python']"
Data Scientist,United States,False,Full-time,2023-02-12,124400.0,False,False,1,1,1,1,1,1,1,0,0,1,1,"['python', 'r', 'scala', 'sql', 'azure', 'databricks', 'aws', 'spark', 'matplotlib', 'ggplot2', 'hadoop', 'word', 'power bi', 'tableau', 'spreadsheet', 'excel', 'powerpoint']"
Data Scientist,United States,False,Full-time,2023-03-23,105700.0,False,False,1,1,0,0,1,0,0,0,0,0,0,"['r', 'python', 'sql', 'github']"
Data Engineer,Sudan,True,Full-time,2023-04-11,200000.0,True,False,1,0,0,1,0,0,0,0,0,1,0,"['python', 'airflow', 'hadoop', 'spark', 'pandas', 'jupyter']"
Data Engineer,United States,False,Full-time,2023-10-28,140000.0,False,True,1,1,0,0,0,1,0,0,0,0,0,"['sql', 'python', 'azure', 'github']"
Data Engineer,India,False,Full-time,2023-10-31,156500.0,False,False,0,1,0,0,0,1,0,1,0,0,1,"['java', 't-sql', 'sql', 'azure', 'power bi', 'dax', 'notion']"
Senior Data Scientist,United States,False,Full-time,2023-06-05,120000.0,False,False,1,0,1,1,1,1,0,0,0,1,0,"['r', 'python', 'sas', 'sas', 'aws', 'azure', 'gcp', 'hadoop', 'spark']"
Senior Data Scientist,United States,False,Full-time,2023-11-27,112500.0,False,False,1,1,0,0,1,0,0,0,0,0,0,"['r', 'python', 'sql', 'excel']"
Data Engineer,United States,False,Full-time,2023-04-14,141000.0,False,True,1,1,1,0,0,1,0,1,0,0,0,"['python', 'java', 'sql', 'aws', 'azure']"
Data Engineer,Sudan,True,Full-time,2023-01-09,140000.0,True,False,1,1,0,1,0,0,0,1,0,0,0,"['python', 'sql', 'java', 't-sql', 'oracle', 'spark', 'pyspark', 'kafka', 'airflow', 'linux', 'sap', 'github']"
Senior Data Engineer,United States,False,Full-time,2023-09-13,147500.0,False,False,1,1,1,0,0,1,0,0,1,0,0,"['sql', 'python', 'snowflake', 'aws', 'azure', 'gcp']"
